"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-01","9.40"," 2323"," 2100","0.00","0.0","0.0","28","35","21","  310","  310",,"16.1","25.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-02","7.83"," 0143"," 0123","0.00","0.0","0.0","30","37","23","  310","  320",,"16.1","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-03","6.71"," 2347",,"0.00","0.0","0.0","31","35","26","  350","   10",,"12.1","16.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-04","6.93"," 2359"," 2110","0.00","0.0","0.0","34","39","29","  260","  250",,"15.0","25.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-05","6.71"," 2359"," 1716","0.00","0.0","0.0","38","43","32","  260","  250",,"15.0","21.0",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-06","6.93"," 2010"," 2009","0.62","0.0",,"38","42","34","   70","   60",,"28.0","38.0","    1",,,,,,,,,,,"    1",,,"    1",,"    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-07","6.71"," 1616"," 1616","0.07","0.5",,"32","37","26","   10","  360",,"19.9","25.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-08","6.04"," 1947"," 2012","0.00","0.0","0.0","29","35","22","  250","  240",,"17.9","25.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-09","8.05"," 1540"," 1553","0.08","0.0",,"37","42","31","  250","  230",,"17.0","25.1","    1",,,,,,,,,,,"    1",,,"    1",,,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-10","6.26"," 1321"," 1150","0.00","0.0",,"46","52","40","  290","  250",,"15.0","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-11","6.71"," 2322"," 2321","0.27","0.0",,"45","49","40","  290","  300",,"17.9","30.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-12","8.05"," 2115"," 2113","0.00","0.0",,"43","46","39","  210","  220",,"16.1","25.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-13","11.86"," 1447"," 1225","0.02","0.0",,"41","44","37","  290","  290",,"23.9","38.9",,,,,,,,,,,,,,,"    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-14","6.93"," 0127"," 0127","0.00","0.0",,"39","44","34","  290","  290",,"17.9","23.9",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-15","7.16"," 1549"," 1548","0.00","0.0",,"43","50","36","  300","  300",,"17.9","25.9","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-16","8.05"," 0812"," 0812","0.00","0.0",,"39","42","36","  310","  330",,"19.9","29.1",,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-17","8.50"," 1401"," 1514","0.00","0.0","0.0","41","47","35","  290","  280",,"17.9","25.1",,,,,,,,,,,,,,,,,"    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2002-01-18","8.95"," 1424"," 1106","0.00","0.0",,"34","38","29","  290","  290",,"17.9","29.1",,,,,,,,,,,,,,,,,,,,,
